"id","Y","X","SOC","BLD","CRFVOL","OCSKGM","meaERROR","OCSKGMlog"
"P0342",42.2255047080818,21.9139799600811,2.61,1.22822965394836,0,0.961703819041565,3.69,-0.0390487561355094
"P0343",42.2213496600468,21.9379521391634,1.44,1.42443986921955,34.22501878287,0.4047516243771,2.81,-0.904481673147454
"P0344",42.2196154408339,21.9700127949714,0.9,1.53782521004847,31,0.28649683663203,3.18,-1.25002778431228
"P0345",42.2077083751652,21.9479351003705,2.63158615152867,1.22539364134616,31.8655851588978,0.659145057377405,2.51,-0.416811651285518
"P0348",42.1966879220419,21.8975937934599,1.75632829360133,1.36927505737263,1.31354103801009,0.711992166662628,4.05,-0.339688369509014
"P0349",42.1692659395399,21.8774538457896,1.88928544526281,1.34611021220495,3.84634457649816,0.733610015476464,3.88,-0.309777705629717
"P0350",42.173948132544,21.9143023708592,2.12950964362122,1.30171035111414,0.382661818418462,0.828419202639543,3.89,-0.188235969333977
"P0352",42.142045214559,21.9033543915932,2.84,1.19584825975187,25,0.764147037981442,2.69,-0.268995050242406
"P0353",42.1355666688759,21.8924842369324,2.9715219847599,1.17752616065594,1.0446801799739,1.03874731371953,3.5,0.0380154811139283
"P0354",42.1316649377938,21.9291766686968,1.16,1.48106216754894,26,0.381403129387202,3.29,-0.963898380848949
"P0356",42.1426812479756,21.9899483966584,2.8867799188641,1.26250556127468,16.2342310418143,0.915872058548209,3.17,-0.0878785981373463
"P0358",42.1593731784176,22.0329133208251,2.57723818646232,1.23302920021544,11.4043306629514,0.844620595932395,3.28,-0.168867751351724
"P0359",42.104797951908,21.8812675895766,2.29411740558292,1.27921588032558,4.51265114196149,0.84067198000833,3.67,-0.173553730754796
"P0360",42.0978169377615,21.8470182647694,2.48671732991158,1.28127932440136,7.44949458160098,0.884647569360128,3.56,-0.122565939999241
"P0361",42.0810996101701,21.8754765827896,2.50015094569349,1.24422741118845,2.96563124682472,0.905550833023893,3.62,-0.099211865162686
"P0362",42.0591700728384,21.8449821058551,0.976000905547962,1.52102547708288,2.83749434032524,0.432719702510573,4.43,-0.837665098906323
"P0363",42.097582314862,21.9218484326412,1.24,1.46443018576285,9,0.495738906484441,4,-0.701705889070245
"P0364",42.0500032877705,21.8903673239395,1.46332424223037,1.43926836494304,0.28608127982753,0.63002732551823,4.31,-0.461992086698716
"P0365",42.0685948571785,21.9543574155464,1.33413249079344,1.44551053152415,6.65726481419484,0.540035112939178,4.05,-0.616121117576343
"P0366",42.0764978961613,21.969655027518,1.8257575776483,1.35986354980566,2.7498592557999,0.724352457758614,3.97,-0.322477184946303
