"ProfID","HorID","top","bottom","SOC","BLD","CRF","SAND","SILT","CLAY"
"P0328","P0328H02",14,35,6,NA,9,55,32,12
"P0329","P0329H01",0,10,3.18,NA,24,78,20,2
"P0329","P0329H02",10,25,9.48,NA,21,82,17,1
"P0329","P0329H03",25,47,8.06,NA,55,85,10,4
"P0330","P0330H01",0,11,3.44,NA,11,81,19,0
"P0330","P0330H02",11,35,9,NA,17,77,21,2
"P0330","P0330H03",35,55,3.65,NA,17,79,19,2
"P0331","P0331H01",0,7,2.22,NA,23,84,15,1
"P0331","P0331H02",7,19,1.39,NA,32,85,14,1
"P0331","P0331H03",19,33,3.27,NA,40,83,15,2
"P0332","P0332H01",0,8,3.27,NA,21,91,8,1
"P0333","P0333H01",0,18,8.06,NA,31,74,17,8
"P0334","P0334H01",0,14,1.41,NA,40,84,13,2
"P0335","P0335H01",0,16,2.32,NA,25,85,15,0
"P0336","P0336H01",0,16,1.91,NA,25,85,12,4
"P0336","P0336H02",16,32,4.98,NA,36,75,17,8
"P0337","P0337H01",0,15,3.59,NA,39,82,16,1
"P0338","P0338H01",0,10,2.69,NA,43,75,24,2
"P0339","P0339H01",0,8,2.04,NA,43,76,21,2
"P0340","P0340H01",0,13,2.99,NA,20,52,19,29
"P0340","P0340H02",13,28,1.31,NA,14,46,26,28
"P0341","P0341H01",0,18,1.14,NA,22,55,18,27.3
"P0342","P0342H01",0,16,2.61,NA,NA,NA,NA,NA
"P0343","P0343H01",0,15,1.44,NA,30,60,13,27
"P0343","P0343H02",15,23,NA,NA,42,49,18,32
"P0344","P0344H01",0,15,0.9,NA,31,58,17,25
"P0345","P0345H01",0,16,2.66,NA,34,62,16,22
"P0345","P0345H01",0,16,2.52,NA,34,62,16,22
"P0345","P0345H02",16,35,2.78,NA,29,63,15,22
"P0347","P0347H01",0,18,NA,NA,2,64,25,12
"P0347","P0347H01",0,18,NA,NA,10,46,22,32
"P0347","P0347H02",18,44,2.25,NA,3,54,31,14
"P0347","P0347H02",18,44,2.25,NA,21,44,25,32
"P0348","P0348H01",0,20,1.47,NA,2,41,31,28
"P0348","P0348H02",20,34,2.33,NA,0,38,32,30
"P0348","P0348H03",34,50,1.85,NA,1,41,31,29
"P0348","P0348H03",34,50,1.85,NA,3,49,33,18
"P0348","P0348H04",50,70,1.23,NA,0,40,30,30
"P0349","P0349H01",0,16,2.22,NA,5,26,36,38
"P0349","P0349H02",16,40,1.36,NA,2,22,37,40
"P0350","P0350H02",18,45,2.09,NA,1,21,33,46
"P0350","P0350H03",45,60,1.93,NA,7,41,25,35
"P0350","P0350H03",45,60,1.93,NA,0,22,29,50
"P0351","P0351H01",0,16,NA,NA,8,42,21,36
"P0352","P0352H01",0,8,2.84,NA,25,69,6,25
"P0353","P0353H01",0,18,3,NA,1,10,54,36
"P0353","P0353H02",18,37,2.82,NA,1,60,14,25
"P0353","P0353H03",37,55,2,NA,0,27,40,33
"P0354","P0354H01",0,10,1.16,NA,26,19,52,29
"P0356","P0356H01",0,15,4.88,NA,9,49,19,32
"P0356","P0356H02",15,32,0.73,NA,24,45,20,35
"P0358","P0358H01",0,18,2.61,NA,12,47,22,31
"P0358","P0358H02",18,45,2.5,NA,10,60,16,23
"P0359","P0359H01",0,20,2.04,NA,1,50,23,NA
"P0359","P0359H02",20,45,3.07,NA,14,59,18,23
"P0360","P0360H01",0,18,1.39,NA,10,36,28,37
"P0360","P0360H02",18,35,4.4,NA,3,55,14,31
"P0361","P0361H01",0,30,2.5,NA,3,41,24,33
"P0361","P0361H02",30,62,2.26,NA,1,33,24,38
"P0361","P0361H03",62,100,1.32,NA,2,32,26,48
"P0361","P0361H04",100,150,2.45,NA,2,23,33,43
"P0362","P0362H01",0,26,0.95,NA,3,34,31,35
"P0362","P0362H02",26,55,1.27,NA,1,11,51,39
"P0363","P0363H01",0,20,1.24,NA,9,36,26,38
"P0364","P0364H01",0,20,0.94,NA,0,10,46,44
"P0364","P0364H02",20,50,2.95,NA,1,3,47,50
"P0364","P0364H03",50,75,2.22,NA,1,8,47,46
"P0365","P0365H01",0,18,1.39,NA,6,39,16,35
"P0365","P0365H02",18,40,1.22,NA,8,45,18,37
"P0366","P0366H01",0,20,2.24,NA,3,33,23,44
"P0366","P0366H02",20,48,1,NA,2,33,27,41
"P0366","P0366H03",48,70,2.96,NA,2,35,21,43
"P0367","P0367H01",0,18,1.23,NA,17,47,19,33
"P0367","P0367H02",18,43,3.18,NA,3,22,24,54
"P0367","P0367H03",43,75,2.17,NA,4,22,35,43
"P0367","P0367H04",75,94,3.05,NA,3,26,30,43
"P0368","P0368H01",0,20,1.88,NA,1,40,26,34
"P0368","P0368H02",20,45,1.34,NA,0,42,24,34
"P0369","P0369H01",0,18,1.06,NA,8,23,31,46
"P0369","P0369H02",18,45,7.05,NA,10,33,28,47
"P0370","P0370H01",0,10,1.66,NA,9,38,23,45
"P0371","P0371H01",0,15,1.47,NA,7,65,18,17
"P0372","P0372H01",0,18,1.33,NA,8,31,25,44
"P0372","P0372H02",18,32,3.37,NA,2,26,27,47
"P0372","P0372H03",32,70,1.48,NA,2,37,36,37
"P0373","P0373H01",0,13,1.82,NA,0,60,17,22
"P0373","P0373H02",13,38,1.59,NA,27,80,19,2
"P0374","P0374H01",0,16,2.22,NA,16,69,20,11
"P0374","P0374H02",16,30,2.45,NA,12,74,17,8
"P0374","P0374H03",30,55,1.58,NA,12,71,20,10
